id,subject,topic,difficulty,question,A,B,C,D,correct
1054,OOP,OOP Basics,moderate_2,Dynamic binding is also known as?,Early binding,Late binding,Static binding,Method overloading,B
1055,OOP,Constructor,moderate_2,"If no constructor is defined, compiler provides?",Default constructor,Copy constructor,Parameterized constructor,None,A
1056,OOP,Constructor,moderate_2,Copy constructor takes argument as?,By value,By reference,By pointer,By address,B
1057,OOP,Destructor,moderate_2,Destructors are called in which order?,Random,Top-down,Reverse of creation,Alphabetical,C
1058,OOP,Exception Handling,moderate_2,What happens if exception is not caught?,Program terminates,Skips error,Ignores,Continues,A
1059,OOP,OOP Basics,moderate_2,Binding of data and function into single unit is called?,Abstraction,Encapsulation,Inheritance,Overloading,B
1060,OOP,Abstraction,moderate_2,Abstract class can have?,Only abstract methods,Pure virtual and concrete methods,Only static members,Only constructors,B
1061,OOP,File Handling,moderate_2,Which function moves file pointer to beginning?,seekp(),seekg(),clear(),rewind(),B
1062,OOP,Templates,moderate_2,Function templates help in?,Overloading,Generic operations,Encapsulation,Data hiding,B
1063,OOP,Polymorphism,hard,Pure virtual function is declared with value?,0,1,-1,None,A
1064,OOP,Inheritance,hard,Which access specifier is used for private inheritance?,private,protected,public,friend,A
1065,OOP,Constructor,hard,Which constructor is called during object copy?,Default,Copy,Parameterized,None,B
1066,OOP,Operator Overloading,hard,Operator overloading provides?,Abstraction,Polymorphism,Encapsulation,Inheritance,B
1067,OOP,Exception Handling,hard,Throwing an exception transfers control to?,try,catch,throw,exit,B
1068,OOP,Polymorphism,hard,Virtual destructor ensures?,Proper cleanup in inheritance,Faster execution,Static binding,None,A
1069,OOP,Static,hard,Static function cannot access?,Static data,Non-static members,Public members,Private data,B
1070,OOP,Inheritance,hard,Virtual base class solves?,Constructor problem,Diamond problem,Destructor problem,Polymorphism,B
1071,OOP,File Handling,hard,EOF stands for?,End of Field,End of File,Error on File,Exit on Function,B
1072,OOP,Abstraction,hard,Interface contains?,All abstract methods,One method,Data members,Constructors,A
1073,OOP,Templates,hard,Which of the following supports generic programming?,Macros,Templates,Functions,Objects,B
1074,OOP,Constructor,hard,Which constructor gets called for object copy in same class?,Copy,Default,Static,Virtual,A
1075,OOP,Destructor,hard,Destructor cannot be?,Overloaded,Default,Virtual,Inline,A
1076,OOP,Friend Function,hard,Friend class can access?,Private and protected,Only public,Only static,None,A
1077,OOP,Exception Handling,hard,Which keyword is used to generate an exception?,throw,try,catch,finally,A
1078,OOP,OOP Basics,hard,OOP improves?,Code complexity,Code reusability,Execution time,Memory usage,B
1079,OOP,Polymorphism,hard,Virtual keyword is used for?,Static binding,Dynamic binding,Overloading,Inheritance,B
1080,OOP,OOP Basics,hard,Main advantage of OOP is?,Faster I/O,Better modularity,Less RAM usage,Fewer lines of code,B
1081,OS,Introduction,easy,Which of the following is not an operating system?,Windows,Linux,Oracle,Unix,C
1082,OS,Introduction,easy,Which of the following is the core of an operating system?,Kernel,Process,Thread,Command,A
1083,OS,Process Management,easy,Which process state comes after 'New'?,Waiting,Running,Ready,Terminated,C
1084,OS,Process Management,easy,PCB stands for?,Process Control Block,Program Control Block,Process Communication Block,Process Code Block,A
1085,OS,CPU Scheduling,easy,Which of the following is non-preemptive scheduling?,Round Robin,FCFS,SJF,Priority,B
1086,OS,CPU Scheduling,easy,Time quantum is used in which algorithm?,FCFS,SJF,Round Robin,Priority,C
1087,OS,Deadlock,easy,Which of the following is not a necessary condition for deadlock?,Hold and Wait,Preemption,Circular Wait,Mutual Exclusion,B
1088,OS,Memory Management,easy,Paging is a method of?,Fragmentation,Memory management,CPU scheduling,Deadlock handling,B
1089,OS,Memory Management,easy,Page table is used for?,Scheduling,Address translation,Process synchronization,Deadlock,B
1090,OS,File Management,easy,Which command is used to view file content in Linux?,cat,ls,mkdir,pwd,A
1091,OS,Disk Scheduling,easy,Which disk scheduling algorithm is also called elevator algorithm?,FCFS,SSTF,SCAN,LOOK,C
1092,OS,Synchronization,easy,Semaphore is used to solve?,Paging,Synchronization,Deadlock,Swapping,B
1093,OS,Interprocess Communication,easy,Which mechanism allows process to communicate with each other?,Threading,IPC,Paging,Deadlock,B
1094,OS,Virtual Memory,easy,Virtual memory is implemented using?,Main memory,Secondary memory,Cache memory,Registers,B
1095,OS,File Management,easy,File allocation method that uses linked list of disk blocks is?,Contiguous,Linked,Indexed,Sequential,B
1096,OS,CPU Scheduling,moderate_1,Which algorithm gives minimum average waiting time for given set of processes?,FCFS,SJF,Priority,Round Robin,B
1097,OS,CPU Scheduling,moderate_1,"In Round Robin, if time quantum is too large, it behaves like?",FCFS,SJF,Priority,Multilevel,A
1098,OS,CPU Scheduling,moderate_1,Priority scheduling can lead to?,Starvation,Deadlock,Paging,Fragmentation,A
1099,OS,Memory Management,moderate_1,Internal fragmentation occurs in?,Paging,Segmentation,Fixed partitioning,Variable partitioning,C
1100,OS,Memory Management,moderate_1,External fragmentation occurs in?,Paging,Segmentation,Fixed partitioning,Dynamic partitioning,D
1101,OS,Deadlock,moderate_1,Banker's algorithm is used for?,Scheduling,Deadlock avoidance,Paging,Synchronization,B
1102,OS,Deadlock,moderate_1,Which of the following is a deadlock prevention method?,Hold and Wait,Circular wait,Resource preemption,Mutual exclusion,C
1103,OS,Virtual Memory,moderate_1,Which algorithm has minimum number of page faults?,FIFO,LRU,Optimal,Clock,C
1104,OS,Virtual Memory,moderate_1,Thrashing occurs when?,CPU utilization is high,CPU utilization is low,Memory is large,None,B
1105,OS,File Management,moderate_1,Which file allocation method suffers from external fragmentation?,Linked,Indexed,Contiguous,All,C
1106,OS,Disk Scheduling,moderate_1,Which disk scheduling algorithm gives best performance?,FCFS,SSTF,SCAN,LOOK,B
1107,OS,Interprocess Communication,moderate_1,Shared memory and message passing are methods of?,Synchronization,Communication,Paging,Segmentation,B
1108,OS,Synchronization,moderate_1,Critical section is a part of?,Process,Memory,File,Disk,A
1109,OS,Synchronization,moderate_1,Mutex is used for?,Deadlock,Mutual exclusion,Scheduling,Paging,B
1110,OS,Process Management,moderate_1,Process that finishes execution but still in process table is?,Zombie,Orphan,Deadlock,Blocked,A
1111,OS,CPU Scheduling,moderate_2,Turnaround time = ?,Waiting + Response,Execution + Waiting,Response + Burst,Arrival + Waiting,B
1112,OS,CPU Scheduling,moderate_2,"If 3 processes have burst times 4, 3, 5 in FCFS, average waiting time is?",3,4,5,6,A
1113,OS,Deadlock,moderate_2,Circular wait condition implies?,One process waiting another,Chain of processes waiting for each other,One resource blocked,CPU waiting for I/O,B
1114,OS,Deadlock,moderate_2,Which condition must be broken to avoid deadlock?,Mutual exclusion,Hold and wait,No preemption,Circular wait,D
1115,OS,Memory Management,moderate_2,Page fault occurs when?,Page is not in memory,Page is in memory,Page loaded,None,A
1116,OS,Virtual Memory,moderate_2,Demand paging is related to?,Swapping,Memory allocation,Virtual memory,File system,C
1117,OS,Virtual Memory,moderate_2,Effective access time depends on?,Hit ratio,Miss ratio,Page fault rate,All,D
1118,OS,Synchronization,moderate_2,Race condition occurs when?,Two processes share data,Two processes in deadlock,Multiple processes modify shared data,Memory full,C
1119,OS,Disk Scheduling,moderate_2,"If head is at 53 and requests are [98,37,122,14,124,65,67], using SSTF next move is to?",37,65,67,98,B
1120,OS,Disk Scheduling,moderate_2,LOOK algorithm moves?,To end always,To nearest request then reverse,To middle,To highest only,B
1121,OS,Memory Management,hard,Beladyâ€™s anomaly occurs in?,FIFO,LRU,Optimal,Clock,A
1122,OS,Virtual Memory,hard,Working set model is used for?,Deadlock detection,Thrashing control,Scheduling,Paging,B
1123,OS,Deadlock,hard,Resource allocation graph with cycle implies?,Deadlock,No deadlock,Possible deadlock,Safe state,C
1124,OS,CPU Scheduling,hard,Which scheduler selects process for execution?,Long-term,Short-term,Medium-term,Dispatcher,B
1125,OS,CPU Scheduling,hard,Context switch time depends on?,Process size,CPU speed,Memory size,All,D
1126,OS,Memory Management,hard,Best fit algorithm suffers from?,Internal fragmentation,External fragmentation,Thrashing,Deadlock,B
1127,OS,File Management,hard,Indexed allocation uses?,Index block,Directory block,Sequential block,Free block,A
1128,OS,Synchronization,hard,Producer-consumer problem uses?,Mutex,Semaphore,Monitor,All,D
1129,OS,Deadlock,hard,Safe sequence in Bankerâ€™s algorithm means?,No deadlock,Possible deadlock,Unsafe state,None,A
1130,OS,Virtual Memory,hard,Page replacement algorithm decides?,Which page to remove,Which page to load,How many frames,None,A
1131,OS,Memory Management,hard,Paging avoids?,Internal fragmentation,External fragmentation,Thrashing,Deadlock,B
1132,OS,Process Management,hard,Context switch saves?,Registers and PC,Only PC,Only registers,None,A
1133,OS,Process Management,hard,Zombie process means?,Finished but not removed,Running,Blocked,Ready,A
1134,OS,Synchronization,hard,Binary semaphore value range?,0 to 1,1 to n,-1 to 1,0 to n,A
1135,OS,CPU Scheduling,hard,Gantt chart is used to represent?,Process sequence,Memory allocation,Page table,File system,A
1136,OS,Virtual Memory,hard,Page fault rate increases with?,More frames,Less frames,Equal frames,None,B
1137,OS,File Management,hard,Directory structure in Linux is?,Single level,Tree,Graph,Flat,B
1138,OS,Synchronization,hard,Deadlock and starvation can be prevented using?,Semaphore,Scheduler,Monitor,All,D
1139,OS,Disk Scheduling,hard,Disk scheduling aims to?,Minimize seek time,Increase seek time,Reduce throughput,None,A
1140,OS,Virtual Memory,hard,When a process tries to access page not in memory it causes?,Thrashing,Page fault,Deadlock,Swapping,B
1141,WebTech,HTML,easy,HTML stands for?,HyperText Markup Language,HighText Machine Language,HyperTabular Markup Language,None,A
1142,WebTech,HTML,easy,HTML is used to?,Create dynamic pages,Structure a webpage,Style content,Store data,B
1143,WebTech,HTML,easy,HTML documents are saved with extension?,.htm or .html,.txt,.doc,.css,A
1144,WebTech,HTML,easy,The <head> tag contains?,Main content,Metadata and links,Title only,Body,B
1145,WebTech,HTML,easy,The <br> tag is used for?,Line break,Bold text,Horizontal line,Paragraph,A
1146,WebTech,HTML,easy,Anchor tag is used for?,Images,Links,Tables,Lists,B
1147,WebTech,HTML,easy,<img> tag requires which attribute?,src,href,link,alt,A
1148,WebTech,HTML,easy,Which tag is used to create a table row?,<tr>,<td>,<th>,<table>,A
1149,WebTech,HTML,easy,Ordered list uses?,<ol>,<ul>,<li>,<list>,A
1150,WebTech,HTML,easy,Form elements are enclosed in?,<form> tag,<input>,<fieldset>,<body>,A
1151,WebTech,HTML,easy,"<input type=""password""> is used for?",Numeric input,Hidden text,Password field,Date,C
1152,WebTech,HTML,easy,HTML5 introduced which tag?,<footer>,<center>,<marquee>,<font>,A
1153,WebTech,CSS,easy,CSS stands for?,Cascading Style Sheets,Color Style Syntax,Creative Styling Sheet,None,A
1154,WebTech,CSS,easy,Inline CSS is written using?,style attribute,tag,External file,None,A
1155,WebTech,CSS,easy,External CSS file extension is?,.css,.html,.js,.scss,A
1156,WebTech,CSS,moderate_1,CSS is used for?,Structure,Styling,Data storage,Server scripting,B
1157,WebTech,CSS,moderate_1,Property to change text color?,color,font,text,bgcolor,A
1158,WebTech,CSS,moderate_1,Property to set background color?,bg,background-color,color-bg,back,B
1159,WebTech,CSS,moderate_1,ID selector in CSS starts with?,#,.,@,*,A
1160,WebTech,CSS,moderate_1,Class selector in CSS starts with?,.,#,%,@,A
1161,WebTech,CSS,moderate_1,Box model includes?,"Margin, Border, Padding, Content",Text only,Image only,Colors,A
1162,WebTech,CSS,moderate_1,Property to align text center?,text-align,text-position,align-text,center-text,A
1163,WebTech,CSS,moderate_1,Flexbox is used for?,Layout alignment,Color styling,Animations,Fonts,A
1164,WebTech,CSS,moderate_1,CSS Grid is used for?,2D layouts,1D layouts,Images,Background,A
1165,WebTech,CSS,moderate_1,Responsive design uses?,Media queries,Inline styles,Static sizes,JavaScript,A
1166,WebTech,JavaScript,moderate_1,JavaScript is a?,Scripting language,Markup language,Styling tool,Database,A
1167,WebTech,JavaScript,moderate_1,JavaScript runs on?,Browser,Server only,Compiler,Database,A
1168,WebTech,JavaScript,moderate_1,Which symbol is used for comments in JS?,//,#,/* */,Both A and C,D
1169,WebTech,JavaScript,moderate_1,"var, let, const are used to?",Define variables,Create loops,Call functions,Define arrays,A
1170,WebTech,JavaScript,moderate_1,typeof(5) returns?,number,string,integer,None,A
1171,WebTech,JavaScript,moderate_2,Function in JS is declared using?,function keyword,func,declare,def,A
1172,WebTech,JavaScript,moderate_2,Arrow functions introduced in?,ES6,ES5,HTML5,ES7,A
1173,WebTech,JavaScript,moderate_2,DOM stands for?,Document Object Model,Data Object Module,Document Oriented Model,None,A
1174,WebTech,JavaScript,moderate_2,document.getElementById() returns?,HTML element,Style,Event,Array,A
1175,WebTech,JavaScript,moderate_2,InnerHTML is used to?,Modify element content,Change CSS,Load images,None,A
1176,WebTech,JavaScript,moderate_2,addEventListener() is used for?,Handling events,Styling,Animation,Storage,A
1177,WebTech,JavaScript,moderate_2,setTimeout() executes after?,Specific time delay,Immediately,Random delay,Loop,A
1178,WebTech,JavaScript,moderate_2,JSON stands for?,JavaScript Object Notation,Java Syntax Object Name,Just Simple Object Name,None,A
1179,WebTech,JavaScript,moderate_2,Which is used to store key-value pairs locally?,localStorage,cookies,cache,session,A
1180,WebTech,JavaScript,moderate_2,Which converts JSON to object?,JSON.parse(),JSON.stringify(),eval(),toJSON(),A
1181,WebTech,HTML,hard,HTML5 supports which API?,Geolocation API,Storage API,Canvas API,All,D
1182,WebTech,HTML,hard,Semantic elements include?,",",",",",",",",B
1183,WebTech,HTML,hard,Which tag defines a navigation bar?,,,,,A
1184,WebTech,CSS,hard,CSS3 introduced?,Transitions & Animations,Tables,Frames,Center tag,A
1185,WebTech,CSS,hard,Pseudo-class example?,:hover,.hover,#hover,hover(),A
1186,WebTech,CSS,hard,Z-index is used for?,Stacking order,Font color,Margin,Alignment,A
1187,WebTech,CSS,hard,Keyframes are used for?,Animation,Borders,Alignment,Fonts,A
1188,WebTech,CSS,hard,Transform property is used for?,"Rotate, scale, skew",Color,Font,Image,A
1189,WebTech,CSS,hard,Media query syntax starts with?,@media,media(),.media,if(media),A
1190,WebTech,JavaScript,hard,Callback function is?,Function passed as argument,Return value,Object,Method,A
1191,WebTech,JavaScript,hard,Promise handles?,Asynchronous operations,Loops,DOM,CSS,A
1192,WebTech,JavaScript,hard,Async/Await is used for?,Handling asynchronous code,CSS styling,DOM parsing,Form submission,A
1193,WebTech,JavaScript,hard,fetch() API is used for?,Data fetching via HTTP,Storing data,Parsing JSON,None,A
1194,WebTech,JavaScript,hard,Event bubbling means?,Event propagates from child to parent,Parent to child,Loops,None,A
1195,WebTech,JavaScript,hard,Closure in JS means?,Function with preserved scope,Class,Loop,Module,A
1196,WebTech,JavaScript,hard,NaN means?,Not a Number,Null and None,Negative Number,None,A
1197,WebTech,JavaScript,hard,typeof(null) returns?,object,null,undefined,string,A
1198,WebTech,Web Storage,hard,sessionStorage stores data?,Per session,Permanently,In cookies,Cloud,A
1199,WebTech,Web Storage,hard,localStorage data persists?,Until deleted,Until tab closed,For session,Temporarily,A
1200,WebTech,Browser,hard,console.log() is used for?,Debugging output,HTML printing,CSS styling,None,A
